tip,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,altitude
Scleria_paupercula_SC382,202.5,124.5,56.5,2282.2,307.6,88.3,219.3,213.8,169.1,226.7,169.1,1133.6,255.6,0,110.7,732.2,0.5,281,2.1,1308.2
Scleria_pedicellata_SC435,239,95.6666666667,77.3333333333,896.3333333333,302,179,123,239.6666666667,225,247.6666666667,225,1628,288,17,58.6666666667,666.3333333333,109.3333333333,567,109.3333333333,485.3333333333
Scleria_pergracilis_SC123,261.9189189189,119.5945945946,64.0135135135,1769.0135135135,357.2297297297,170.0135135135,187.2162162162,254.3378378378,253.0810810811,285.2027027027,239.6351351351,1200.6351351351,254.0945945946,7.1216216216,88.9864864865,661.6081081081,30.472972973,243.7297297297,431.4189189189,373.8918918919
Scleria_pergracilis_var._brachystachys_SC349,192.6,119.6,55.6,2305.2,297.2,84.6,212.6,204.8,158.6,217.2,158.6,1037.6,252.4,0,116.8,733.4,0,351.2,0,974.4
Scleria_plusiophylla_SC239,202.3606557377,110.5573770492,58.5081967213,2580.2950819672,292.6229508197,104.1803278689,188.4426229508,229.262295082,173.2459016393,233.1147540984,168.131147541,1590.4098360656,221,64.2950819672,40.7049180328,604.606557377,220.5081967213,519.9016393443,237.8032786885,490.2459016393
Scleria_poiformis_SC280,244.9428571429,99.6571428571,57,2367.9714285714,322.0285714286,148.2857142857,173.7428571429,266.9428571429,216.8857142857,271.0857142857,210.6571428571,1681.8,346.3428571429,25.4285714286,81.7428571429,960.0285714286,90.2285714286,713.9428571429,112.0857142857,104.8
Scleria_polycarpa_SC122,259.1923076923,89.6818181818,63.2867132867,1730.5804195804,325.6713286713,180.1678321678,145.5034965035,272.1573426573,239.1783216783,277.8636363636,233.4230769231,1986.8741258741,363.4230769231,47.513986014,81.993006993,1016.0454545455,159.7552447552,702.8041958042,191.3041958042,99.6678321678
Scleria_polyrrhiza_SC299,199.5,121.5,61.5,1566.5,292.5,96.5,196,203.5,176.5,216,176.5,1335.5,274,0,99.5,762.5,3,193.5,15.5,1453.5
Scleria_pooides_SC364,206.0625,122.625,63.875,2091.625,296.6875,105.375,191.3125,215.5625,184.875,229.0625,176.5625,1283.25,273.75,7.75,90.9375,735.0625,31.5,479.5,205.375,1144
Scleria_pseudohispidior_SC454,218,124,68,1524,321,140,181,205,227,239,203,1212,224,0,89,651,7,70,342,1454
Scleria_pulchella_SC024,188.5,139.5,63,1677,286.5,66,220.5,196.5,163.5,203,162.5,1022,194,0,87.5,523,2,228.5,10.5,1581.5
Scleria_purdiei_SC053,252.1111111111,94.6666666667,78.5555555556,634.1111111111,317.4444444444,196.7777777778,120.6666666667,246.7777777778,253.8888888889,260.7777777778,244.1111111111,1893,321.5555555556,22.5555555556,63.6666666667,842.4444444444,96.2222222222,276.7777777778,623,524.3333333333
Scleria_purpurascens_SC094,257.4166666667,83.9444444444,77.6111111111,680.4722222222,314.0277777778,202.8888888889,111.1388888889,255.5833333333,254.1388888889,265.4722222222,247.8611111111,2713.9722222222,390.5,96.7777777778,44.6111111111,1072.3055555556,339.25,591.1666666667,606.75,258.0833333333
Scleria_pusilla_SC447,241.6666666667,116.7777777778,70.3333333333,795.8888888889,319.7777777778,155,164.7777777778,243,233.1111111111,249.5555555556,229.5555555556,1668.5555555556,299.8888888889,4.3333333333,79.7777777778,830.2222222222,22.3333333333,296.2222222222,123.4444444444,654.8888888889
Scleria_racemosa_SC109,237.8817204301,109.5376344086,68.7956989247,1369.0752688172,315.2365591398,154.8709677419,160.3655913978,240.8709677419,226.7419354839,253.6021505376,219.5913978495,1593.4408602151,316.247311828,20.4731182796,80.376344086,813.4838709677,83.1397849462,484.1182795699,215.4731182796,649.2903225806
Scleria_rehmannii_SC358,273.9,118.2,64.6,1602.6,368.8,187.1,181.7,255.7,273.1,297.2,255.7,1083.3,239.1,2,87.4,586.1,14.2,154.6,586.1,245.1
Scleria_reticularis_SC192,196.3791208791,119.543956044,54.6318681319,3920.8131868132,310.9340659341,76.1648351648,234.7692307692,225.1373626374,179.3241758242,243.8901098901,143.5989010989,1295.8461538462,218.3241758242,36.7472527473,60.6263736264,581.6208791209,130.7307692308,394.2472527473,201.3406593407,552.1263736264
Scleria_richardsiae_SC304,161.5,108.75,58,2046.25,249.5,63.5,186,174.5,141.5,183.5,131,1149,247.25,2.5,102.75,698,13.25,298,17,1892.75
Scleria_robinsoniana_SC305,238.7142857143,121.1428571429,66,1167.5714285714,334.1428571429,153,181.1428571429,226.4285714286,239.8571428571,255.2857142857,226.4285714286,2235.1428571429,473.8571428571,10.4285714286,79.1428571429,1232,62.7142857143,251,1215.5714285714,638.5714285714
Scleria_rosea_JG12,219.1176470588,99.4705882353,63.4117647059,2148.4117647059,292.4705882353,137.2352941176,155.2352941176,241.9411764706,199.4117647059,242.5882352941,189.1764705882,1965.1176470588,339.7647058824,50.3529411765,66.2352941176,929.2352941176,194,903.7058823529,275.2941176471,490.1764705882
Scleria_rugosa_SC043,265.2102040816,116.3265306122,57.4734693878,2591.1836734694,355.0367346939,152.8816326531,202.1551020408,282.8979591837,230.1367346939,293.1163265306,226.6714285714,1235.4489795918,289.8142857143,5.0346938776,104.7816326531,792.3387755102,20.2428571429,432.0306122449,28.7979591837,140.7142857143
Scleria_rutenbergiana_JG03,227.8181818182,88,62.8181818182,1997.4545454546,294,155.3636363636,138.6363636364,249.0909090909,211,249.8181818182,200.4545454545,2299.1818181818,407.1818181818,57.6363636364,66.8181818182,1096.4545454546,222.1818181818,1044.0909090909,320.7272727273,409.7272727273
Scleria_scabra_SC088,234.0535714286,111.7232142857,73.2053571429,1032.6964285714,307.7142857143,154.7321428571,152.9821428571,237.4642857143,225.4642857143,244.3303571429,218.9107142857,1575.0446428571,269.9017857143,24.1607142857,67.8571428571,736.4375,92.2589285714,352.8392857143,299.4732142857,598.1428571429
