tips,PC1,PC2,PC3
Scleria_abortiva_SC226,-145.083982210302,-442.721795888093,-374.781776870594
Scleria_angusta_SC072,-343.433485260487,-187.359680311048,-193.041739494485
Scleria_ankaratrensis_SC022,-521.021461220285,-94.3452583366515,-382.23297283653
Scleria_arguta_SC125,295.394229877919,160.044737873418,-104.193506705908
Scleria_balansae_SC203,-1670.68308075358,-194.208793886351,88.9103806938127
Scleria_baldwinii_SC187,-3459.49518607947,-611.398734968713,77.5140783988663
Scleria_bambariensis_SC204,-630.185154873317,539.355929636591,42.7861200576982
Scleria_baroni-clarkei_SC205,748.323862128589,39.5978573365487,-203.435076664101
Scleria_baronii_SC206,-603.075578111057,-14.0320945880483,-367.905527914335
Scleria_bequaertii_SC381,1216.52192632547,219.444547282725,-116.486231647544
Scleria_biflora_SC108,-883.955404454876,-675.138077615962,-57.2774493605477
Scleria_boivinii_SC209,844.761652723862,-207.308684987247,-58.8836270006026
Scleria_bourgeaui_SC313,-1515.15294266212,671.597398705545,77.8595487364201
Scleria_bracteata_SC068,738.124515458916,-43.1065331261903,55.4636090339586
Scleria_brownii_SC059,-1047.52475321794,216.500653544373,-43.514146104431
Scleria_bulbifera_SC378,-137.527985791214,478.403546641504,53.7925096412142
Scleria_burchellii_SC453,860.200315593339,263.850347936776,-12.3297635885972
Scleria_calcicola_SC070,-854.598104834843,454.821836083931,-27.2895985941659
Scleria_carphiformis_SC062b,613.903575827461,-50.2972581106461,-161.058086829997
Scleria_castanea_SC046,598.519701947037,593.337731689414,-117.578251909374
Scleria_catophylla_SC049,338.995112472465,-31.4567939718479,-1.77370634094191
Scleria_ciliaris_SC060,-46.2844463984569,-77.8295899541528,-105.43542370532
Scleria_ciliata_SC189,-4189.99983666706,-674.132489645662,169.491244296653
Scleria_comosa_SC063b,1085.96946655224,111.838479154722,65.9849005971377
Scleria_composita_SC293,-395.191587364444,-46.6797570366792,12.6704584303283
Scleria_corymbosa_SC096,-119.184365892693,-520.367067522422,-61.4341360642943
Scleria_cuyabensis_SC457,881.754021043372,201.90701455672,85.7210924549427
Scleria_cyperina_SC127,1316.91396931071,-360.212619533223,160.139744969782
Scleria_delicatula_SC288,211.595233811202,483.20798564586,-1.06981292011018
Scleria_depauperata_SC214,334.153104179053,-609.014081360209,-305.713879902775
Scleria_depressa_SC054,307.993546162755,482.353438515763,141.120916078296
Scleria_distans_SC177,220.629222173196,-134.154307386072,-15.6734994972323
Scleria_distans_var._chondrocarpa_SC031,-684.417847657119,-143.743957876899,-354.727192083872
Scleria_dregeana_SC384,-1513.18560671208,454.829158165831,17.6622764310791
